vendorId,productId,Product Owner,Vendor Title,Warehouse Availability,Product Category,Product Title,Inventory,Re-Order_Point,Quantity to Send (15 working days),State,#Shipment in Progress,Warehouse Name,City
0,0,Retail,اتوسرویس فرتاک (منطقه 5 - سازمان برنامه شمالی),-,0,لنت جلو مناسب پژو 405 و پارس و سمند مدرن تندیس,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,اتوسرویس غیاثوند (تهران - شهرقدس),-,0,لنت ترمز جلو پراید IREMCO,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,اتوسرویس نادری ( مشهد- امامت ),-,0,پارس فلومکس موتور بايک (SL 10w40) 1 لیتر فلزی,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,اتوسرویس کرمی(خوش - منطقه 10 ),-,0,لنت ترمز عقب سمند کفشکی IREMCO EF7,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,اتو سرویس کریمی(کرج-خیابان مدرس),-,0,فیلتر هوا توردار امان پراید انژکتور کد AFA4002 ,0.0,0.0,0.0,🟥Supply Needed,-,-,0
368e5959-5cf8-401a-980a-3d3a5bc85859,b793c09b-41ea-4897-99af-dec9f9111cc6,Retail,اتوسرویس احمدی (کرج - استاندارد ),0.0,Bestseller,لاستیک کویر 185/65 R14,0.0,2.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,کرج
bbf93b7b-91d3-414f-81ff-566ea48ace3b,a93a4b77-b05e-4301-9670-13da98c4fc3e,Retail,اتوسرویس نادری ( مشهد- امامت ),0.0,Bestseller,فلومکس مگاتک اکو (SL 20W50) 4 لیتری فلزی,0.0,1.0,0.0,🟥Supply Needed,-,مرکز عملیات-مشهد,مشهد
0,0,Retail,فروشگاه ایساکو 4103016 (منطقه19 - خانی آباد نو),-,0,فيلترهوا موتور EF7 NA - (سمند) ایساکو 1240304499,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,اتوسرویس غیاثوند (تهران - شهرقدس),-,0,دیسک ترمز چرخ جلو پژو 206 (تیپ5) عظام,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,اتوسرویس پاد موتور (منطقه 10 - قصردشت),-,0,ضد یخ بهمن بهران 1 لیتری ,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,تعویض روغنی محمدی (چهاردانگه-شهرک مطهری),-,0,لنت ترمز دیسکی جلو پژو 405 عظام,0.0,0.0,0.0,🟥Supply Needed,-,-,0
a9c8b898-65fb-4780-9932-f338ae6d13ce,643da727-4d51-42a0-bfec-935c95c7432b,Retail,اتو سرویس سید(منطقه4 - هروی),0.0,Bestseller,لاستیک ایران تایر 185/60 R14,0.0,1.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تهران
0,0,Retail,تعویض روغنی ایوتوندی(شهریار),-,0,تیغه برف پاکن پنگوئن 22 اینچ  405 و پارس,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,خدمات اتومبیل دوستان(منطقه 21 - تهرانسر),-,0,فیلتر روغن سرکان پراید کد 7735,0.0,0.0,0.0,🟥Supply Needed,-,-,0
